reserved;definition;name;value;briefdescription
;CalibrationLocationTable;CAL_IN_SYDNEY;4;Sydney
;CalibrationLocationTable;CAL_IN_BEIJING;5;Beijing
;;CAL_LOCATION_CODES;6;
;_UNIT_TYPES;T_TEMPERATURE;9;SI-Base-Quantities
;TEMPERATURE;KELVIN;1;Kevin
;TEMPERATURE;CELSIUS;2;Celsius
;TEMPERATURE;FAHRENHEIT;3;F
;PROTECT_TABLE;UNPROTECTED;0;
;PROTECT_TABLE;CALCULATE;1;
;PROTECT_TABLE;PROTECTED;2;
;;CALIBRATION_LOAD;0x35;
;_FE_READ_CMD;READ_FE_RTC;5;
;;READ_FE_RTC_INDEX;0;
;_FE_READ_CMD;READ_FE_VERSION;8;
;;READ_FE_VERSION_INDEX;1;
;_FE_READ_CMD;READ_SNR_THRESHOLD;12;
;;READ_SNR_THRESHOLD_INDEX;3;
;_FE_READ_CMD;READ_AUTOZERO_STATUS;9;
;;READ_AUTOZERO_STATUS_INDEX;2;
;_FE_WRITE_CMD;WRITE_AUTO_ZERO;0x81;
;;WRITE_AUTO_ZERO_INDEX;0;
;_FE_WRITE_CMD;WRITE_SELF_DIAGNOSIS;0x82;
;;WRITE_SELF_DIAGNOSIS_INDEX;1;
;_FE_WRITE_CMD;WRITE_FE_HW_VERSION;0x83;
;;WRITE_HW_VERSION_INDEX;3;
;_FE_WRITE_CMD;WRITE_FE_RTC;0x85;
;;WRITE_FE_RTC_INDEX;2;
;_FE_WRITE_CMD;WRITE_SNR_THRESHOLD;0x8C;
;;WRITE_SNR_THRESHOLD_INDEX;4;
;_FE_WRITE_CMD;WRITE_FORMAT_FENV;0xFE;
;;WRITE_FORMAT_FENV_INDEX;5;
;CMD_DATA_LENGTH;SIGNAL_AMPLITUDE_LENGTH;96;
;CMD_DATA_LENGTH;VIBRATION_AMPLITUDE_LENGTH;96;
;CMD_DATA_LENGTH;FE_RTC_LENGTH;5;
;CMD_DATA_LENGTH;FE_HD_VERSION_LENGTH;3;
;CMD_DATA_LENGTH;FE_VERSION_LENGTH;6;
;CMD_DATA_LENGTH;AUTOZERO_STAUS_LENGTH;3;
;CMD_DATA_LENGTH;SNR_THRESHOLD_LENGTH;2;
;CMD_DATA_LENGTH;DEFUALT_LENGTH;1;
;_AUTOZERO_STATUS;STATUS_COMPLETED;0;
;_AUTOZERO_STATUS;STATUS_UNCOMPLETED;1;
;_AUTOZERO_STATUS;STATUS_FAIL;2;
;_AUTOZERO_STATUS;STATUS_NOT_START;3;
;;BOOT_VER_NUM_ADDR;0x12F00;Boot loader version number stored address.
;;BOOT_VER_NUM_LEN;3;Boot loader version number length. High version number is the first byte.
;;CB_HW_VER_NUM_ADDR;0xE000;
;;CB_HW_VER_NUM_LEN;3;High version number is the first byte.
;TABLE_LCD_LIGHT_MODE;LIGHT_OFF;0;HMI LCD light turn off
;TABLE_LCD_LIGHT_MODE;LIGHT_ON;1;HMI LCD light turn on
;TABLE_LCD_LIGHT_MODE;LIGHT_DYNAMIC;2;HMI LCD light auto adjust
;TABLE_BLE_SWITCH_2;BLE_TOOTH_OFF;0;HMI bluetooth off
;TABLE_BLE_SWITCH_2;BLE_TOOTH_ON;5;HMI bluetooth on
;;ROM_CHECK_VALUE_CONFIG;0x3456;it is use to check the configure data
