Reserved;Main menu;Sub menu 1;Sub menu 2;Sub menu 3;Subsystem IDX;Object IDX;Attribute IDX;Menu Type;Enum Name;Max Digits;Number of dp's;Units Table;Access Rights (read only);Access Rights (standard);Access Rights (advanced);Access Rights (service);English;German;French;Espanol;Italian;Dutch;Danish;Swedish;Finish;Polish;Russian;Chinese
;;;;;;;;;LIQUID_POWER;;;;;;;;Liquid Energy;Fl¨¹ssig Energie;Energie liquide;;;;;;;;;
;;;;;;;;;GAS_ACTUAL_VOLUME;;;;;;;;Gas Act. Volume;Gas Volumen;Gaz: volume ;;;;;;;;;
;;;;;;;;;GAS_STANDARD_VOLUME;;;;;;;;Gas Std/Norm Vol.;Gas Norm Volumen;Gaz: volume Normo;;;;;;;;;
;;;;;;;;;GAS_MASS;;;;;;;;Gas Mass;Gas Masse;Gaz: masse;;;;;;;;;
;;;;;;;;;GAS_POWER;;;;;;;;Gas Power;Gas Energie;Gaz: puissance ;;;;;;;;;
;;;;;;;;;BIOGAS_ACTUAL_VOLUME;;;;;;;;Bio Act. Volume;Biogas Volumen;Bio: volume;;;;;;;;;
;;;;;;;;;BIOGAS_STANDARD_VOLUME;;;;;;;;Bio Std/Norm Vol.;Biogas Norm Volumen;Bio: volume Normo;;;;;;;;;
;;;;;;;;;STEAM_ACTUAL_VOLUME;;;;;;;;Steam Act. Volume;Dampf Volumen;Vapeur: volume;;;;;;;;;
;;;;;;;;;STEAM_MASS;;;;;;;;Steam/Water Mass;Dampf/Heissw. Masse;Masse vapeur/eau;;;;;;;;;
;;;;;;;;;STEAM_POWER;;;;;;;;Steam/Water Energy;Dampf/Heissw. Energ.;Energie vapeur/eau;;;;;;;;;
;;DO Function;;;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_outputMode;0;ENUM PARAM;;;;Not Used;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;DO Function;Digitalausgang;Fonction sortie num.;;;;;;;;;
;;;;;;;;;DO1_NONE;;;;;;;;Off;Aus;Arr\x88t;;;;;;;;;
;;;;;;;;;DO1_LOGIC;;;;;;;;Logic;Schaltausgang;Logique;;;;;;;;;
;;;;;;;;;DO1_PULSE;;;;;;;;Pulse;Impulsausgang;Impulsion;;;;;;;;;
;;;;;;;;;DO1_FREQUENCY;;;;;;;;Frequency;Frequenzausgang;Fr\x82quence;;;;;;;;;
;;Pulses Per Unit;;;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_pulseFactor;FLOAT_FIXEDUNIT_value;NUMERICAL PARAM;;8;AUTO_RANGING;Pulses;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Pulses Per Unit;Impulse pro Einheit;Impulsion par unit\x82;;;;;;;;;
;;Pulse Width;;;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_pulseWidth;FLOAT_FIXEDUNIT_value;NUMERICAL PARAM;;8;AUTO_RANGING;ms;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Pulse Width;Impulsbreite;Largeur impulsion;;;;;;;;;
;;Lower Freqency;;;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_minFrequency;FLOAT_FIXEDUNIT_value;NUMERICAL PARAM;;8;AUTO_RANGING;Hz;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Lower Freqency;Untere Frequenz;Fr\x82quence la + basse;;;;;;;;;
;;Upper Freqency;;;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_maxFrequency;FLOAT_FIXEDUNIT_value;NUMERICAL PARAM;;8;AUTO_RANGING;Hz;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Upper Freqency;Obere Frequenz;Fr\x82quence la + haute;;;;;;;;;
;;Active Mode;;;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_lgcActState;0;ENUM PARAM;;;;Not Used;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Active Mode;Schaltausgang ;Mode actif;;;;;;;;;
;;;;;;;;;ACTIVE_HIGH;;;;;;;;Normally Open;Schliesser;Normalement ouvert;;;;;;;;;
;;;;;;;;;ACTIVE_LOW;;;;;;;;Normally Closed;\x99ffner;Normalement ferm\x82;;;;;;;;;
;;Unit Qv;;;SVM_IDX;SVM_IDX_QvObj;UOM_PF_unit;ENUM PARAM;;;;UOM1;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Unit Qv;Volumen-Einheit;Unit\x82 Qv;;;;;;;;;
;;;;;;;;;CUBIC_METER_PER_SECOND;;;;;;;;m3/s;;;;;;;;;;;
;;;;;;;;;CUBIC_METER_PER_MINUTE;;;;;;;;m3/min;;;;;;;;;;;
;;;;;;;;;CUBIC_METER_PER_HOUR;;;;;;;;m3/h;;;;;;;;;;;
;;;;;;;;;CUBIC_METER_PER_DAY;;;;;;;;m3/day;;;;;;;;;;;
;;;;;;;;;CUBIC_FEET_PER_SECOND;;;;;;;;ft3/s;;;;;;;;;;;
;;;;;;;;;CUBIC_FEET_PER_MINUTE;;;;;;;;ft3/min;;;;;;;;;;;
;;;;;;;;;CUBIC_FEET_PER_HOUR;;;;;;;;ft3/h;;;;;;;;;;;
;;;;;;;;;CUBIC_FEET_PER_DAY;;;;;;;;ft3/day;;;;;;;;;;;
;;;;;;;;;LITER_PER_SECOND;;;;;;;;l/s;;;;;;;;;;;
;;;;;;;;;LITER_PER_MINUTE;;;;;;;;l/min;;;;;;;;;;;
;;;;;;;;;LITER_PER_HOUR;;;;;;;;l/h;;;;;;;;;;;
;;;;;;;;;LITER_PER_DAY;;;;;;;;l/day;;;;;;;;;;;
;;;;;;;;;KILOLITER_PER_SECOND;;;;;;;;kl/s;;;;;;;;;;;
;;;;;;;;;KILOLITER_PER_MINUTE;;;;;;;;kl/min;;;;;;;;;;;
;;;;;;;;;KILOLITER_PER_HOUR;;;;;;;;kl/h;;;;;;;;;;;
;;;;;;;;;KILOLITER_PER_DAY;;;;;;;;kl/day;;;;;;;;;;;
;;;;;;;;;US_GALLON_PER_SECOND;;;;;;;;us gal/s;;;;;;;;;;;
;;;;;;;;;US_GALLON_PER_MINUTE;;;;;;;;us gal/min;;;;;;;;;;;
;;;;;;;;;US_GALLON_PER_HOUR;;;;;;;;us gal/h;;;;;;;;;;;
;;;;;;;;;US_GALLON_PER_DAY;;;;;;;;us gal/day;;;;;;;;;;;
;;;;;;;;;IMPERIAL_GALLON_PER_SECOND;;;;;;;;imperial gal/s;;;;;;;;;;;
;;;;;;;;;IMPERIAL_GALLON_PER_MINUTE;;;;;;;;imperial gal/min;;;;;;;;;;;
;;;;;;;;;IMPERIAL_GALLON_PER_HOUR;;;;;;;;imperial gal/h;;;;;;;;;;;
;;;;;;;;;IMPERIAL_GALLON_PER_DAY;;;;;;;;imperial gal/day;;;;;;;;;;;
;;;;;;;;;BARREL_PER_SECOND;;;;;;;;barrel/s;;;;;;;;;;;
;;;;;;;;;BARREL_PER_MINUTE;;;;;;;;barrel/min;;;;;;;;;;;
;;;;;;;;;BARREL_PER_HOUR;;;;;;;;barrel/h;;;;;;;;;;;
;;;;;;;;;BARREL_PER_DAY;;;;;;;;barrel/day;;;;;;;;;;;
;;Unit Qm;;;MVM_IDX;MVM_IDX_QmObj;UOM_PF_unit;ENUM PARAM;;;;UOM2;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Unit Qm;Masse-Einheit;Unit\x82 Qm;;;;;;;;;
;;;;;;;;;GRAM_PER_SECOND;;;;;;;;g/s;;;;;;;;;;;
;;;;;;;;;GRAM_PER_MINUTE;;;;;;;;g/min;;;;;;;;;;;
;;;;;;;;;GRAM_PER_HOUR;;;;;;;;g/h;;;;;;;;;;;
;;;;;;;;;KILOGRAM_PER_SECOND;;;;;;;;kg/s;;;;;;;;;;;
;;;;;;;;;KILOGRAM_PER_MINUTE;;;;;;;;kg/min;;;;;;;;;;;
;;;;;;;;;KILOGRAM_PER_HOUR;;;;;;;;kg/h;;;;;;;;;;;
;;;;;;;;;KILOGRAM_PER_DAY;;;;;;;;kg/day;;;;;;;;;;;
;;;;;;;;;METRIC_TON_PER_SECOND;;;;;;;;t/s;;;;;;;;;;;
;;;;;;;;;METRIC_TON_PER_MINUTE;;;;;;;;t/min;;;;;;;;;;;
;;;;;;;;;METRIC_TON_PER_HOUR;;;;;;;;t/h;;;;;;;;;;;
;;;;;;;;;METRIC_TON_PER_DAY;;;;;;;;t/day;;;;;;;;;;;
;;;;;;;;;POUND_PER_SECOND;;;;;;;;lb/s;;;;;;;;;;;
;;;;;;;;;POUND_PER_MINUTE;;;;;;;;lb/min;;;;;;;;;;;
;;;;;;;;;POUND_PER_HOUR;;;;;;;;lb/h;;;;;;;;;;;
;;;;;;;;;POUND_PER_DAY;;;;;;;;lb/day;;;;;;;;;;;
;;;;;;;;;SHORT_TON_PER_SECOND;;;;;;;;US t/s;;;;;;;;;;;
;;;;;;;;;SHORT_TON_PER_MINUTE;;;;;;;;US t/min;;;;;;;;;;;
;;;;;;;;;SHORT_TON_PER_HOUR;;;;;;;;US t/h;;;;;;;;;;;
;;;;;;;;;SHORT_TON_PER_DAY;;;;;;;;US t/day;;;;;;;;;;;
;;Unit Qnv;;;MVM_IDX;MVM_IDX_QnObj;UOM_PF_unit;ENUM PARAM;;;;UOM1;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Unit Qnv;Normvolumen-Einheit ;Unit\x82 Qnv;;;;;;;;;
;;;;;;;;;CUBIC_METER_PER_SECOND;;;;;;;;m3/s;;;;;;;;;;;
;;;;;;;;;CUBIC_METER_PER_MINUTE;;;;;;;;m3/min;;;;;;;;;;;
;;;;;;;;;CUBIC_METER_PER_HOUR;;;;;;;;m3/h;;;;;;;;;;;
;;;;;;;;;CUBIC_METER_PER_DAY;;;;;;;;m3/day;;;;;;;;;;;
;;;;;;;;;CUBIC_FEET_PER_SECOND;;;;;;;;ft3/s;;;;;;;;;;;
;;;;;;;;;CUBIC_FEET_PER_MINUTE;;;;;;;;ft3/min;;;;;;;;;;;
;;;;;;;;;CUBIC_FEET_PER_HOUR;;;;;;;;ft3/h;;;;;;;;;;;
;;;;;;;;;CUBIC_FEET_PER_DAY;;;;;;;;ft3/day;;;;;;;;;;;
;;;;;;;;;CUBIC_KILOFEET_PER_SECOND;;;;;;;;;;;;;;;;;;;
;;;;;;;;;CUBIC_KILOFEET_PER_MINUTE;;;;;;;;;;;;;;;;;;;
;;;;;;;;;CUBIC_KILOFEET_PER_HOUR;;;;;;;;;;;;;;;;;;;
;;;;;;;;;CUBIC_KILOFEET_PER_DAY;;;;;;;;;;;;;;;;;;;
;;;;;;;;;LITER_PER_SECOND;;;;;;;;l/s;;;;;;;;;;;
;;;;;;;;;LITER_PER_MINUTE;;;;;;;;l/min;;;;;;;;;;;
;;;;;;;;;LITER_PER_HOUR;;;;;;;;l/h;;;;;;;;;;;
;;;;;;;;;LITER_PER_DAY;;;;;;;;l/day;;;;;;;;;;;
;;;;;;;;;KILOLITER_PER_SECOND;;;;;;;;kl/s;;;;;;;;;;;
;;;;;;;;;HECTOLITER_PER_SECOND;;;;;;;;;;;;;;;;;;;
;;;;;;;;;HECTOLITER_PER_MINUTE;;;;;;;;;;;;;;;;;;;
;;;;;;;;;HECTOLITER_PER_HOUR;;;;;;;;;;;;;;;;;;;
;;;;;;;;;HECTOLITER_PER_DAY;;;;;;;;;;;;;;;;;;;
;;;;;;;;;KILOLITER_PER_MINUTE;;;;;;;;kl/min;;;;;;;;;;;
;;;;;;;;;KILOLITER_PER_HOUR;;;;;;;;kl/h;;;;;;;;;;;
;;;;;;;;;KILOLITER_PER_DAY;;;;;;;;kl/day;;;;;;;;;;;
;;;;;;;;;US_GALLON_PER_SECOND;;;;;;;;us gal/s;;;;;;;;;;;
;;;;;;;;;US_GALLON_PER_MINUTE;;;;;;;;us gal/min;;;;;;;;;;;
;;;;;;;;;US_GALLON_PER_HOUR;;;;;;;;us gal/h;;;;;;;;;;;
;;;;;;;;;US_GALLON_PER_DAY;;;;;;;;us gal/day;;;;;;;;;;;
;;;;;;;;;IMPERIAL_GALLON_PER_SECOND;;;;;;;;imperial gal/s;;;;;;;;;;;
;;;;;;;;;IMPERIAL_GALLON_PER_MINUTE;;;;;;;;imperial gal/min;;;;;;;;;;;
;;;;;;;;;IMPERIAL_GALLON_PER_HOUR;;;;;;;;imperial gal/h;;;;;;;;;;;
;;;;;;;;;IMPERIAL_GALLON_PER_DAY;;;;;;;;imperial gal/day;;;;;;;;;;;
;;;;;;;;;BARREL_PER_SECOND;;;;;;;;barrel/s;;;;;;;;;;;
;;;;;;;;;BARREL_PER_MINUTE;;;;;;;;barrel/min;;;;;;;;;;;
;;;;;;;;;BARREL_PER_HOUR;;;;;;;;barrel/h;;;;;;;;;;;
;;;;;;;;;BARREL_PER_DAY;;;;;;;;barrel/day;;;;;;;;;;;
;;;;;;;;;BARREL_US_BEER_PER_DAY;;;;;;;;;;;;;;;;;;;
;;;;;;;;;BARREL_US_BEER_PER_HOUR;;;;;;;;;;;;;;;;;;;
;;;;;;;;;BARREL_US_BEER_PER_MINUTE;;;;;;;;;;;;;;;;;;;
;;;;;;;;;BARREL_US_BEER_PER_SECOND;;;;;;;;;;;;;;;;;;;
;;Unit Qpower;;;MVM_IDX;MVM_IDX_QpDampedObj;UOM_PF_unit;ENUM PARAM;;;;UOM3;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Unit Qpower;Energie-Einheit ;Unit\x82 Qpuissance;;;;;;;;;
;;;;;;;;;WATT;;;;;;;;W;;;;;;;;;;;
;;;;;;;;;MEGAWATT;;;;;;;;MW;;;;;;;;;;;
;;;;;;;;;KILOWATT;;;;;;;;KW;;;;;;;;;;;
;;;;;;;;;KILOJOULE_PER_SECOND;;;;;;;;KJ/s;;;;;;;;;;;
;;;;;;;;;KILOJOULE_PER_MINUTE;;;;;;;;KJ/min;;;;;;;;;;;
;;;;;;;;;KILOJOULE_PER_HOUR;;;;;;;;KJ/h;;;;;;;;;;;
;;;;;;;;;KILOJOULE_PER_DAY;;;;;;;;KJ/day;;;;;;;;;;;
;;;;;;;;;MEGAJOULE_PER_HOUR;;;;;;;;MJ/h;;;;;;;;;;;
;;;;;;;;;BRITISH_THERMAL_UNIT_PER_SECOND;;;;;;;;;;;;;;;;;;;
;;;;;;;;;BRITISH_THERMAL_UNIT_PER_MINUTE;;;;;;;;;;;;;;;;;;;
;;;;;;;;;BRITISH_THERMAL_UNIT_PER_HOUR;;;;;;;;;;;;;;;;;;;
;;;;;;;;;BRITISH_THERMAL_UNIT_PER_DAY;;;;;;;;;;;;;;;;;;;
;;;;;;;;;THOUSAND_BRITISH_THERMAL_UNIT_PER_MINUTE;;;;;;;;;;;;;;;;;;;
;;;;;;;;;THOUSAND_BRITISH_THERMAL_UNIT_PER_HOUR;;;;;;;;;;;;;;;;;;;
;;;;;;;;;THOUSAND_BRITISH_THERMAL_UNIT_PER_DAY;;;;;;;;;;;;;;;;;;;
;;;;;;;;;MILLION_BRITISH_THERMAL_UNIT_PER_HOUR;;;;;;;;;;;;;;;;;;;
;;;;;;;;;MILLION_BRITISH_THERMAL_UNIT_PER_DAY;;;;;;;;;;;;;;;;;;;
;;Unit Density ;;;MAPPER_IDX;MAPPER_IDX_dvDensityObj;UOM_PF_unit;ENUM PARAM;;;;UOM4;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Unit Density ;Dichte-Einheit ;Unit\x82 masseVolumique;;;;;;;;;
;;;;;;;;;KILOGRAM_PER_CUBIC_METER;;;;;;;;kg/m3;;;;;;;;;;;
;;;;;;;;;GRAM_PER_CUBIC_CENTIMETER;;;;;;;;g/cm3;;;;;;;;;;;
;;;;;;;;;KILOGRAM_PER_LITER;;;;;;;;kg/l;;;;;;;;;;;
;;;;;;;;;GRAM_PER_MILLILITER;;;;;;;;g/ml;;;;;;;;;;;
;;;;;;;;;GRAM_PER_LITER;;;;;;;;g/l;;;;;;;;;;;
;;;;;;;;;POUND_PER_CUBIC_INCH;;;;;;;;lb/in;;;;;;;;;;;
;;;;;;;;;POUND_PER_CUBIC_FOOT;;;;;;;;lb/ft3;;;;;;;;;;;
;;Unit Temperature ;;;CDT_IDX;CDT_IDX_temperature_Obj;UOM_PF_unit;ENUM PARAM;;;;UOM5;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Unit Temperature ;Temperatur-Einheit ;Unit\x82 temp\x82rature;;;;;;;;;
;;;;;;;;;KELVIN;;;;;;;;kelvin;;;;;;;;;;;
;;;;;;;;;CELSIUS;;;;;;;;celsius;;;;;;;;;;;
;;;;;;;;;FAHRENHEIT;;;;;;;;fahrenheit;;;;;;;;;;;
;;Unit Pressure;;;MAPPER_IDX;MAPPER_IDX_dvPressureObj;UOM_PF_unit;ENUM PARAM;;;;UOM6;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Unit Pressure;Druck-Einheit ;Unit\x82 pression;;;;;;;;;
;;;;;;;;;PASCAL_U;;;;;;;;Pa;;;;;;;;;;;
;;;;;;;;;MEGAPASCAL;;;;;;;;MPa;;;;;;;;;;;
;;;;;;;;;KILOPASCAL;;;;;;;;KPa;;;;;;;;;;;
;;;;;;;;;HECTOPASCAL;;;;;;;;HPa;;;;;;;;;;;
;;;;;;;;;BAR;;;;;;;;bar;;;;;;;;;;;
;;;;;;;;;MILLIBAR;;;;;;;;mbar;;;;;;;;;;;
;;;;;;;;;POUNDFORCE_PER_SQUARE_INCH;;;;;;;;psi;;;;;;;;;;;
;;;;;;;;;KILOGRAMFORCE_PER_SQUARE_CENTIMETER;;;;;;;;kg/cm2;;;;;;;;;;;
;;;;;;;;;MILLIMETER_H2O;;;;;;;;;;;;;;;;;;;
;;Unit Volume;;;TOTALIZER_IDX;TOTALIZER_IDX_totQvUnit;UNITS_unitsCode;ENUM PARAM;;;;UOM9;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Unit Volume;Z\x84hler-Vol.-Einheit;Unit\x82 volume;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXCubicMetres;;;;;;;;m3;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXCubicFeet;;;;;;;;ft3;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXLitres;;;;;;;;l;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXMillilitres;;;;;;;;milli l;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXHectolitres;;;;;;;;hecto l;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXImperialGallons;;;;;;;;imp gallon;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXUSGallonsLiquid;;;;;;;;us gallon;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXUSBarrelsBeer;;;;;;;;us barrels beer;;;;;;;;;;;
;;Unit Mass ;;;TOTALIZER_IDX;TOTALIZER_IDX_totQmUnit;UNITS_unitsCode;ENUM PARAM;;;;UOM10;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Unit Mass ;Z\x84hler-Masse-Einh.;Unit\x82 masse;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXGrams;;;;;;;;g;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXKilograms;;;;;;;;kg;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXTonnes;;;;;;;;ton;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXPounds;;;;;;;;pounds;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXOunces;;;;;;;;ounce;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXShortTon;;;;;;;;;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXLongTon;;;;;;;;;;;;;;;;;;;
;;Unit Std/Norm Vol.;;;TOTALIZER_IDX;TOTALIZER_IDX_totQnUnit;UNITS_unitsCode;ENUM PARAM;;;;UOM9;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Unit Std/Norm Vol.;Z\x84hler-N.-vol.-Einh.;Unit\x82 volumeNormal;;;;;;;;;
;;Unit Energy ;;;TOTALIZER_IDX;TOTALIZER_IDX_totEnergyUnit;UNITS_unitsCode;ENUM PARAM;;;;UOM11;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Unit Energy ;Z\x84hler-Energie-Einh.;Unit\x82 \x82nergie;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXJoure;;;;;;;;J;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXKiloJoure;;;;;;;;KJ;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXMegaJoure;;;;;;;;MJ;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXBritishThermalUnit;;;;;;;;;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXMillionBritishThermalUnit;;;;;;;;;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXWattHour;;;;;;;;;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXMegaWattHour;;;;;;;;;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXKiloWattHour;;;;;;;;KWH;;;;;;;;;;;
;;;;;;;;;TotalizerUnitIDXThousandBritishThermalUnit;;;;;;;;;;;;;;;;;;;
;;Analog In Value;;;AI_IDX;AI_IDX_aiSelection;0;ENUM PARAM;;;;Not Used;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Analog In Value;Analog-Eingang;Valeur entr\x82eAnalog.;;;;;;;;;
;;;;;;;;;EXT_TEMPERATURE;;;;;;;;Ext.T;Ext.T;Ext.T;;;;;;;;;
;;;;;;;;;PRESSURE;;;;;;;;Pressure;Druck;Pression;;;;;;;;;
;;;;;;;;;PRESSURE_ABS;;;;;;;;Pressure(abs);Druck (abs);Pression absolue;;;;;;;;;
;;;;;;;;;DENSITY;;;;;;;;Density;Gas-Anteil;Masse volumique;;;;;;;;;
;;;;;;;;;GAS_CONTENT;;;;;;;;Gas Content;Dichte;Teneur en gaz;;;;;;;;;
;;;;;;;;;EXTERNAL_OUTPUT_CUTOFF;;;;;;;;Ext. Cutoff;ext. Abschaltung;Arr\x88t ext\x82rieur;;;;;;;;;
;;;;;;;;;WITHOUT;;;;;;;;Without;Ohne;Sans;;;;;;;;;
;;;;;;;;;INTER_TEMPERATURE;;;;;;;;Int.T;Int.T;Int.T;;;;;;;;;
;;T Ext. Upper Range;;;MAPPER_IDX;MAPPER_IDX_dvTExtRangeObj;UOM_PF_value_0;NUMERICAL PARAM;;7;AUTO_RANGING;UOM5;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;T Ext. Upper Range;Ext.-Temp. ob. Wert;Valeur max. T ext.;;;;;;;;;
;;T Ext. Lower Range;;;MAPPER_IDX;MAPPER_IDX_dvTExtRangeObj;UOM_PF_value_1;NUMERICAL PARAM;;7;AUTO_RANGING;UOM5;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;T Ext. Lower Range;Ext.-Temp. unt. Wert;Valeur min. T ext.;;;;;;;;;
;;Pressure Upper Range;;;MAPPER_IDX;MAPPER_IDX_dvPressureRangeRelativeObj;UOM_PF_value_0;NUMERICAL PARAM;;12;AUTO_RANGING;UOM6;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Pressure Upper Range;Druck oberer Wert;Valeur pression max.;;;;;;;;;
;;Pressure Lower Range;;;MAPPER_IDX;MAPPER_IDX_dvPressureRangeRelativeObj;UOM_PF_value_1;NUMERICAL PARAM;;12;AUTO_RANGING;UOM6;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Pressure Lower Range;Druck unterer Wert;Valeur pression min.;;;;;;;;;
;;P(abs) Upper Range;;;MAPPER_IDX;MAPPER_IDX_dvPressureRangeObj;UOM_PF_value_0;NUMERICAL PARAM;;12;AUTO_RANGING;UOM6;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;P(abs) Upper Range;Abs.Druck ob. Wert;Valeur P abs max.;;;;;;;;;
;;P(abs) Lower Range;;;MAPPER_IDX;MAPPER_IDX_dvPressureRangeObj;UOM_PF_value_1;NUMERICAL PARAM;;12;AUTO_RANGING;UOM6;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;P(abs) Lower Range;Abs.Druck unt. Wert;Valeur P abs min.;;;;;;;;;
;;Density Upper Range;;;MAPPER_IDX;MAPPER_IDX_dvDensityRangeObj;UOM_PF_value_0;NUMERICAL PARAM;;8;AUTO_RANGING;UOM4;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Density Upper Range;Dichte oberer Wert;Valeur masseVol max.;;;;;;;;;
