reserved;definition;name;value;briefdescription
;ALARM_SIMULATION_TYPE;CB_INSUF_INPUT_VOLTAGE;36;TRANSMITTER INSUF INPUT VOLTAGE
;ALARM_SIMULATION_TYPE;AMBIENT_TEMP_REACH_TMIN;37;AMBIENT TEMP REACH TMIN
;ALARM_SIMULATION_TYPE;AMBIENT_TEMP_REACH_TMAX;38;AMBIENT TEMP REACH TMAX
;ALARM_SIMULATION_TYPE;LOW_FLOWRATE_CUTOFF;39;LOW FLOWRATE CUTOFF
;ALARM_SIMULATION_TYPE;FLOWRATE_BG_103;40;FLOWRATE BG 103
;ALARM_SIMULATION_TYPE;DATA_SIMU_ALARM;41;DATA SIMU ALARM
;ALARM_SIMULATION_TYPE;DIAG_SIMU_ALARM;42;DIAG SIMU ALARM
;ALARM_SIMULATION_TYPE;NV_REPLACE_ERROR;47;NV REPLACE ERROR
;ALARM_SIMULATION_TYPE;FE_RAM_FAILURE;48;SENSOR RAM FAILURE
;ALARM_SIMULATION_TYPE;TOT_COUNTER_STOP;49;TOT COUNTER STOP
;ALARM_SIMULATION_TYPE;NO_HART_BURST_IN;51;NO HART BURST IN
;FLOATRANGE;MAXVALUE;99999.9f;
;FLOATRANGE;MINVALUE;-99999.0f;
;_UNIT_TYPES;T_TEMPERATURE;9;SI-Base-Quantities
;_UNIT_TYPES;T_TIME;5;
;_UNIT_TYPES;T_VOLUME;17;
;_UNIT_TYPES;T_MASS_DENSITY;25;Derivatives A
;_UNIT_TYPES;T_SPECIFIC_VOLUME;27;Derivatives A
;_UNIT_TYPES;T_VOLUME_FLOW;39;Derivatives A
;_UNIT_TYPES;T_MASS_FLOW;41;Derivatives A
;_UNIT_TYPES;T_NORMAL_VOLUME_FLOW;42;
;_UNIT_TYPES;T_FREQUENCY;47;
;_UNIT_TYPES;T_PRESSURE;51;Containing special Names
;_UNIT_TYPES;T_POWER;55;Containing special Names
;_UNIT_TYPES;T_ANALYTICAL;139;percent
;_PERCENT_UNIT;PERCENT;1;
;_T_VOLUME;CUBIC_METER;1;
;_T_VOLUME;LITER;11;
;_T_TEMPERATURE_UNIT;KELVIN;1;Kevin
;_T_TEMPERATURE_UNIT;CELSIUS;2;Celsius
;_T_TEMPERATURE_UNIT;FAHRENHEIT;3;F
;_T_MASS_DENSITY_UNIT;KILOGRAM_PER_CUBIC_METER;1;Kg/m3
;_T_MASS_DENSITY_UNIT;GRAM_PER_CUBIC_CENTIMETER;3;g/cm3
;_T_MASS_DENSITY_UNIT;KILOGRAM_PER_LITER;6;Kg/l
;_T_MASS_DENSITY_UNIT;GRAM_PER_MILLILITER;7;g/ml
;_T_MASS_DENSITY_UNIT;GRAM_PER_LITER;8;g/l
;_T_MASS_DENSITY_UNIT;POUND_PER_CUBIC_INCH;9;lb/in
;_T_MASS_DENSITY_UNIT;POUND_PER_CUBIC_FOOT;10;lb/ft3
;_T_VOLUME_FLOW_UNIT;CUBIC_METER_PER_SECOND;13;
;_T_VOLUME_FLOW_UNIT;CUBIC_METER_PER_MINUTE;14;
;_T_VOLUME_FLOW_UNIT;CUBIC_METER_PER_HOUR;15;
;_T_VOLUME_FLOW_UNIT;CUBIC_METER_PER_DAY;16;
;_T_VOLUME_FLOW_UNIT;CUBIC_FEET_PER_SECOND;29;
;_T_VOLUME_FLOW_UNIT;CUBIC_FEET_PER_MINUTE;30;
;_T_VOLUME_FLOW_UNIT;CUBIC_FEET_PER_HOUR;31;
;_T_VOLUME_FLOW_UNIT;CUBIC_FEET_PER_DAY;32;
;_T_VOLUME_FLOW_UNIT;LITER_PER_SECOND;48;
;_T_VOLUME_FLOW_UNIT;LITER_PER_MINUTE;49;
;_T_VOLUME_FLOW_UNIT;LITER_PER_HOUR;50;
;_T_VOLUME_FLOW_UNIT;LITER_PER_DAY;51;
;_T_VOLUME_FLOW_UNIT;KILOLITER_PER_SECOND;52;
;_T_VOLUME_FLOW_UNIT;KILOLITER_PER_MINUTE;60;
;_T_VOLUME_FLOW_UNIT;KILOLITER_PER_HOUR;61;
;_T_VOLUME_FLOW_UNIT;KILOLITER_PER_DAY;62;
;_T_VOLUME_FLOW_UNIT;US_GALLON_PER_SECOND;63;
;_T_VOLUME_FLOW_UNIT;US_GALLON_PER_MINUTE;64;
;_T_VOLUME_FLOW_UNIT;US_GALLON_PER_HOUR;65;
;_T_VOLUME_FLOW_UNIT;US_GALLON_PER_DAY;66;
;_T_VOLUME_FLOW_UNIT;IMPERIAL_GALLON_PER_SECOND;83;
;_T_VOLUME_FLOW_UNIT;IMPERIAL_GALLON_PER_MINUTE;84;
;_T_VOLUME_FLOW_UNIT;IMPERIAL_GALLON_PER_HOUR;85;
;_T_VOLUME_FLOW;IMPERIAL_GALLON_PER_DAY;86;
;_T_VOLUME_FLOW;BARREL_PER_SECOND;104;
;_T_VOLUME_FLOW;BARREL_PER_MINUTE;105;
;_T_VOLUME_FLOW;BARREL_PER_HOUR;106;
;_T_VOLUME_FLOW;BARREL_PER_DAY;107;
;_T_NORM_VOLUME_FLOW;NORMAL_CUBIC_METER_PER_SECOND_0C_1ATM;1;
;_T_NORM_VOLUME_FLOW;NORMAL_CUBIC_METER_PER_MINUTE_0C_1ATM;2;
;_T_NORM_VOLUME_FLOW;NORMAL_CUBIC_METER_PER_HOUR_0C_1ATM;3;
;_T_NORM_VOLUME_FLOW;NORMAL_CUBIC_METER_PER_DAY_0C_1ATM;4;
;_T_NORM_VOLUME_FLOW;NORMAL_LITER_PER_SECOND_0C_1ATM;5;
;_T_NORM_VOLUME_FLOW;NORMAL_LITER_PER_MINUTE_0C_1ATM;6;
;_T_NORM_VOLUME_FLOW;NORMAL_LITER_PER_HOUR_0C_1ATM;7;
;_T_NORM_VOLUME_FLOW;NORMAL_LITER_PER_DAY_0C_1ATM;8;
;_T_NORM_VOLUME_FLOW;STANDARD_CUBIC_FEET_PER_MINUTE_60F_1ATM;9;
;_T_NORM_VOLUME_FLOW;STANDARD_CUBIC_FEET_PER_HOUR_60F_1ATM;10;
;_T_NORM_VOLUME_FLOW;STANDARD_CUBIC_METER_PER_SECOND_20C_1ATM;11;
;_T_NORM_VOLUME_FLOW;STANDARD_CUBIC_METER_PER_MINUTE_20C_1ATM;12;
;_T_NORM_VOLUME_FLOW;STANDARD_CUBIC_METER_PER_HOUR_20C_1ATM;13;
;_T_NORM_VOLUME_FLOW;STANDARD_CUBIC_METER_PER_DAY_20C_1ATM;14;
;_T_NORM_VOLUME_FLOW;STANDARD_LITER_PER_SECOND_20C_1ATM;15;
;_T_NORM_VOLUME_FLOW;STANDARD_LITER_PER_MINUTE_20C_1ATM;16;
;_T_NORM_VOLUME_FLOW;STANDARD_LITER_PER_HOUR_20C_1ATM;17;
;_T_NORM_VOLUME_FLOW;STANDARD_LITER_PER_DAY_20C_1ATM;18;
;_T_MASS_FLOW;GRAM_PER_SECOND;1;g/s
;_T_MASS_FLOW;GRAM_PER_MINUTE;2;g/min
;_T_MASS_FLOW;GRAM_PER_HOUR;3;g/h
;_T_MASS_FLOW;KILOGRAM_PER_SECOND;5;kg/s
;_T_MASS_FLOW;KILOGRAM_PER_MINUTE;6;kg/min
;_T_MASS_FLOW;KILOGRAM_PER_HOUR;7;kg/h
;_T_MASS_FLOW;KILOGRAM_PER_DAY;8;kg/d
;_T_PRESSURE_UNIT;PASCAL_U;1;Pa
;_T_PRESSURE_UNIT;MEGAPASCAL;3;MPa
;_T_PRESSURE_UNIT;KILOPASCAL;4;KPa
;_T_PRESSURE_UNIT;HECTOPASCAL;7;HPa
;_T_PRESSURE_UNIT;BAR;8;bar
;_T_PRESSURE_UNIT;MILLIBAR;9;mbar
;_T_PRESSURE_UNIT;POUNDFORCE_PER_SQUARE_INCH;65;psi
;_T_PRESSURE_UNIT;KILOGRAMFORCE_PER_SQUARE_CENTIMETER;69;kg/cm2
;_T_PRESSURE_UNIT;MILLIMETER_H2O;53;mm H2O
;TF_CODE;LINEAR;0;
;TF_CODE;SQUARE_ROOT;1;
;TF_CODE;SQUARE_ROOT_THIRD_POWER;2;
;TF_CODE;SQUARE_ROOT_FIFTH_POWER;3;
;TF_CODE;SPECIAL_CURVE;4;
;TF_CODE;SQUARE;5;
;TF_CODE;DISCRETE;230;
;TF_CODE;SQUARE_ROOT_PLUS_SPECIAL_CURVE;231;
;TF_CODE;SQUARE_ROOT_THIRD_POWER_PLUS_SPECIAL_CURVE;232;
;TF_CODE;SQUARE_ROOT_FIFTH_POWER_PLUS_SPECIAL_CURVE;233;
;TF_CODE;NOT_USED;250;
;TF_CODE;NONE;251;
;TF_CODE;UNKNOWN;252;
;TF_CODE;SPECIAL;253;
;AC_FLAG;NOT_CONNECTED;0;
;AC_FLAG;CONNECTED;1;
;DEVICE_VAR_CODE;DEVICE_VAR_QV;0;METERINGLABEL_Qv
;DEVICE_VAR_CODE;DEVICE_VAR_QN;1;METERINGLABEL_Qn
;DEVICE_VAR_CODE;DEVICE_VAR_QM;2;METERINGLABEL_Qm
;DEVICE_VAR_CODE;DEVICE_VAR_POWER;3;METERINGLABEL_Temperature
;DEVICE_VAR_CODE;DEVICE_VAR_PARTIAL_QV;4;Power - Heat Flow
;DEVICE_VAR_CODE;DEVICE_VAR_PARTIAL_QN;5;
;DEVICE_VAR_CODE;DEVICE_VAR_T;7;
;DEVICE_VAR_CODE;DEVICE_VAR_TOTQV;12;
;DEVICE_VAR_CODE;DEVICE_VAR_TOTQN;13;
;DEVICE_VAR_CODE;DEVICE_VAR_TOTQM;14;
;DEVICE_VAR_CODE;DEVICE_VAR_TOTENERGY;15;
;DEVICE_VAR_CODE;DEVICE_VAR_TOTQV_PARTIAL;16;
;DEVICE_VAR_CODE;DEVICE_VAR_TOTQN_PARTIAL;17;
;DEVICE_VAR_CODE;UNSUPPORTED_DEVICE_VAR;250;
;T_RANGE_CHOOSE;UPPER_RANGE;0;
;T_RANGE_CHOOSE;LOWERER_RANGE;1;
;_T_UNIT;PERCENT_UNIT_CODE;57;PERCENT_UNIT
;FLOWOVER103_BHV;FLOWOVER103_BHV_ALARM_OFF;0;
;FLOWOVER103_BHV;FLOWOVER103_BHV_ALARM_HI;3;
;FLOWOVER103_BHV;FLOWOVER103_BHV_ALARM_LO;4;
;_OPM_SEL_MASK;SELECTION_LIQUIDQV;0x0001;
;_OPM_SEL_MASK;SELECTION_LIQUIDQN;0x0002;
;_OPM_SEL_MASK;SELECTION_LIQUIDQM;0x0004;
;_OPM_SEL_MASK;SELECTION_LIQUIDPOWER;0x0008;
;_OPM_SEL_MASK;SELECTION_GASQV;0x0010;
;_OPM_SEL_MASK;SELECTION_GASQN;0x0020;
;_OPM_SEL_MASK;SELECTION_GASQM;0x0040;
;_OPM_SEL_MASK;SELECTION_GASPOWER;0x0080;
;_OPM_SEL_MASK;SELECTION_GASPARTIALQV;0x0100;
;_OPM_SEL_MASK;SELECTION_GASPARTIALQN;0x0200;
;_OPM_SEL_MASK;SELECTION_STEAMQV;0x0400;
;_OPM_SEL_MASK;SELECTION_STEAMQM;0x0800;
;_OPM_SEL_MASK;SELECTION_STEAMPOWER;0x1000;
;;OPM_NUM;13;
;_SIMU_STATUS;SIMU_DISABLE;0;
;_SIMU_STATUS;SIMU_ENABLE;1;
;MapperStatusTable;UNPROTECTED;0;
;MapperStatusTable;CALCULATE;1;
;MapperStatusTable;PROTECTED;2;
;_TEXT_SRC;TEXT_FROM_AI;0;
;_TEXT_SRC;TEXT_FROM_HART;1;
;_TEXT_SRC;TEXT_FROM_PRESET;2;
;_PRESSURE_SRC;PRESSURE_FROM_AI;0;
;_PRESSURE_SRC;PRESSURE_FROM_HART;1;
;_PRESSURE_SRC;PRESSURE_FROM_PRESET;2;
;_DENSITY_SRC;DENSITY_FROM_AI;0;
;_DENSITY_SRC;DENSITY_FROM_HART;1;
;_DENSITY_SRC;DENSITY_FROM_PRESET;2;
;_CONTENT_SRC;CONTENT_FORM_AI;0;
;_CONTENT_SRC;CONTENT_FORM_HART;1;
;_CONTENT_SRC;CONTENT_FORM_PRESET;2;
;_MAPPER_DIAGNOSIS_ALARM_TABLE;ALM_PRESSURE_REACH_MAX;0;
;_MAPPER_DIAGNOSIS_ALARM_TABLE;ALM_PRESSURE_REACH_MIN;1;
;_MAPPER_DIAGNOSIS_ALARM_TABLE;ALM_NO_HART_BURST_IN;2;
;_PRESET_STATE;PRESET_ACCESSED;0;
;_PRESET_STATE;PRESET_CHANGED;1;
;namurAlarmStatusTable;NAMUR_NO_ALARM;0;
;namurAlarmStatusTable;NAMUR_CHECKFUNCTION;1;
;namurAlarmStatusTable;NAMUR_OFFSPECIFICATION;2;
;namurAlarmStatusTable;NAMUR_MAINTENANCE;3;
;namurAlarmStatusTable;NAMUR_FAILURE;4;
