reserved;object;attribute;briefDescription;displayFormat;definition
;dvTExtSimObj;value_19;;;
;dvTExtSimObj;value_20;;;
;dvPressureUnitCode;;;ENUMERATION;_T_PRESSURE_UNIT
;dvPressureObj;unit;;ENUMERATION;_T_PRESSURE_UNIT
;dvPressureObj;type;;;
;dvPressureObj;value_0;;NUMERIC;
;dvPressureObj;value_1;;;
;dvPressureObj;value_2;;;
;dvPressureObj;value_3;;;
;dvPressureObj;value_4;;;
;dvPressureObj;value_5;;;
;dvPressureObj;value_6;;;
;dvPressureObj;value_7;;;
;dvPressureObj;value_8;;;
;dvPressureObj;value_9;;;
;dvPressureObj;value_10;;;
;dvPressureObj;value_11;;;
;dvPressureObj;value_12;;;
;dvPressureObj;value_13;;;
;dvPressureObj;value_14;;;
;dvPressureObj;value_15;;;
;dvPressureObj;value_16;;;
;dvPressureObj;value_17;;;
;dvPressureObj;value_18;;;
;dvPressureObj;value_19;;;
;dvPressureObj;value_20;;;
;dvPressureSimObj;unit;;ENUMERATION;_T_PRESSURE_UNIT
;dvPressureSimObj;type;;;
;dvPressureSimObj;value_0;;NUMERIC;
;dvPressureSimObj;value_1;;;
;dvPressureSimObj;value_2;;;
;dvPressureSimObj;value_3;;;
;dvPressureSimObj;value_4;;;
;dvPressureSimObj;value_5;;;
;dvPressureSimObj;value_6;;;
;dvPressureSimObj;value_7;;;
;dvPressureSimObj;value_8;;;
;dvPressureSimObj;value_9;;;
;dvPressureSimObj;value_10;;;
;dvPressureSimObj;value_11;;;
;dvPressureSimObj;value_12;;;
;dvPressureSimObj;value_13;;;
;dvPressureSimObj;value_14;;;
;dvPressureSimObj;value_15;;;
;dvPressureSimObj;value_16;;;
;dvPressureSimObj;value_17;;;
;dvPressureSimObj;value_18;;;
;dvPressureSimObj;value_19;;;
;dvPressureSimObj;value_20;;;
;dvPressureRelativeMaxDN;;;NUMERIC;
;dvPressurePresetObj;unit;;ENUMERATION;_T_PRESSURE_UNIT
;dvPressurePresetObj;type;;;
;dvPressurePresetObj;value_0;;NUMERIC;
;dvPressurePresetObj;value_1;;;
;dvPressurePresetObj;value_2;;;
;dvPressurePresetObj;value_3;;;
;dvPressurePresetObj;value_4;;;
;dvPressurePresetObj;value_5;;;
;dvPressurePresetObj;value_6;;;
;dvPressurePresetObj;value_7;;;
;dvPressurePresetObj;value_8;;;
;dvPressurePresetObj;value_9;;;
;dvPressurePresetObj;value_10;;;
;dvPressurePresetObj;value_11;;;
;dvPressurePresetObj;value_12;;;
;dvPressurePresetObj;value_13;;;
;dvPressurePresetObj;value_14;;;
;dvPressurePresetObj;value_15;;;
;dvPressurePresetObj;value_16;;;
;dvPressurePresetObj;value_17;;;
;dvPressurePresetObj;value_18;;;
;dvPressurePresetObj;value_19;;;
;dvPressurePresetObj;value_20;;;
;dvDensityObj;unit;;ENUMERATION;_T_MASS_DENSITY_UNIT
;dvDensityObj;type;;;
;dvDensityObj;value_0;;NUMERIC;
;dvDensityObj;value_1;;;
;dvDensityObj;value_2;;;
;dvDensityObj;value_3;;;
;dvDensityObj;value_4;;;
;dvDensityObj;value_5;;;
;dvDensityObj;value_6;;;
;dvDensityObj;value_7;;;
;dvDensityObj;value_8;;;
;dvDensityObj;value_9;;;
;dvDensityObj;value_10;;;
;dvDensityObj;value_11;;;
;dvDensityObj;value_12;;;
;dvDensityObj;value_13;;;
;dvDensityObj;value_14;;;
;dvDensityObj;value_15;;;
;dvDensityObj;value_16;;;
;dvDensityObj;value_17;;;
;dvDensityObj;value_18;;;
;dvDensityObj;value_19;;;
;dvDensityObj;value_20;;;
;dvDensityPresetObj;unit;;ENUMERATION;_T_MASS_DENSITY_UNIT
;dvDensityPresetObj;type;;;
;dvDensityPresetObj;value_0;;NUMERIC;
;dvDensityPresetObj;value_1;;;
;dvDensityPresetObj;value_2;;;
;dvDensityPresetObj;value_3;;;
;dvDensityPresetObj;value_4;;;
;dvDensityPresetObj;value_5;;;
;dvDensityPresetObj;value_6;;;
;dvDensityPresetObj;value_7;;;
;dvDensityPresetObj;value_8;;;
;dvDensityPresetObj;value_9;;;
;dvDensityPresetObj;value_10;;;
;dvDensityPresetObj;value_11;;;
;dvDensityPresetObj;value_12;;;
;dvDensityPresetObj;value_13;;;
;dvDensityPresetObj;value_14;;;
;dvDensityPresetObj;value_15;;;
;dvDensityPresetObj;value_16;;;
;dvDensityPresetObj;value_17;;;
;dvDensityPresetObj;value_18;;;
;dvDensityPresetObj;value_19;;;
;dvDensityPresetObj;value_20;;;
;dvPressureAlmRange;loLim;;NUMERIC;
;dvPressureAlmRange;hiLim;;NUMERIC;
;dvContent;;;NUMERIC;
;dvContentPreset;;;NUMERIC;
;dvContentSim;;;NUMERIC;
;dvDensityUnitType;;;;
;dvDensitySimObj;unit;;BITENUMERATION;_T_MASS_DENSITY_UNIT
;dvDensitySimObj;type;;;
;dvDensitySimObj;value_0;;NUMERIC;
;dvDensitySimObj;value_1;;;
;dvDensitySimObj;value_2;;;
;dvDensitySimObj;value_3;;;
;dvDensitySimObj;value_4;;;
;dvDensitySimObj;value_5;;;
;dvDensitySimObj;value_6;;;
;dvDensitySimObj;value_7;;;
;dvDensitySimObj;value_8;;;
;dvDensitySimObj;value_9;;;
;dvDensitySimObj;value_10;;;
;dvDensitySimObj;value_11;;;
;dvDensitySimObj;value_12;;;
;dvDensitySimObj;value_13;;;
;dvDensitySimObj;value_14;;;
;dvDensitySimObj;value_15;;;
;dvDensitySimObj;value_16;;;
;dvDensitySimObj;value_17;;;
;dvDensitySimObj;value_18;;;
;dvDensitySimObj;value_19;;;
;dvDensitySimObj;value_20;;;
;dvTExtPresetObj;unit;;NUMERIC;_T_TEMPERATURE_UNIT
;dvTExtPresetObj;type;;;
;dvTExtPresetObj;value_0;;NUMERIC;
;dvTExtPresetObj;value_1;;;
;dvTExtPresetObj;value_2;;;
;dvTExtPresetObj;value_3;;;
;dvTExtPresetObj;value_4;;;
;dvTExtPresetObj;value_5;;;
;dvTExtPresetObj;value_6;;;
;dvTExtPresetObj;value_7;;;
;dvTExtPresetObj;value_8;;;
;dvTExtPresetObj;value_9;;;
;dvTExtPresetObj;value_10;;;
;dvTExtPresetObj;value_11;;;
;dvTExtPresetObj;value_12;;;
;dvTExtPresetObj;value_13;;;
;dvTExtPresetObj;value_14;;;
;dvTExtPresetObj;value_15;;;
;dvTExtPresetObj;value_16;;;
;dvTExtPresetObj;value_17;;;
;dvTExtPresetObj;value_18;;;
;dvTExtPresetObj;value_19;;;
;dvTExtPresetObj;value_20;;;
;dvTExtRangeObj;unit;;ENUMERATION;_T_TEMPERATURE_UNIT
;dvTExtRangeObj;type;;;
;dvTExtRangeObj;value_0;;NUMERIC;
;dvTExtRangeObj;value_1;;NUMERIC;
;dvTExtRangeObj;value_2;;;
;dvTExtRangeObj;value_3;;;
;dvTExtRangeObj;value_4;;;
;dvTExtRangeObj;value_5;;;
;dvTExtRangeObj;value_6;;;
;dvTExtRangeObj;value_7;;;
;dvTExtRangeObj;value_8;;;
;dvTExtRangeObj;value_9;;;
;dvTExtRangeObj;value_10;;;
;dvTExtRangeObj;value_11;;;
;dvTExtRangeObj;value_12;;;
;dvTExtRangeObj;value_13;;;
;dvTExtRangeObj;value_14;;;
;dvTExtRangeObj;value_15;;;
;dvTExtRangeObj;value_16;;;
;dvTExtRangeObj;value_17;;;
;dvTExtRangeObj;value_18;;;
;dvTExtRangeObj;value_19;;;
;dvTExtRangeObj;value_20;;;
;dvPressureRangeObj;unit;;ENUMERATION;_T_PRESSURE_UNIT
;dvPressureRangeObj;type;;;
;dvPressureRangeObj;value_0;;NUMERIC;
;dvPressureRangeObj;value_1;;NUMERIC;
;dvPressureRangeObj;value_2;;;
;dvPressureRangeObj;value_3;;;
;dvPressureRangeObj;value_4;;;
;dvPressureRangeObj;value_5;;;
;dvPressureRangeObj;value_6;;;
;dvPressureRangeObj;value_7;;;
;dvPressureRangeObj;value_8;;;
;dvPressureRangeObj;value_9;;;
;dvPressureRangeObj;value_10;;;
;dvPressureRangeObj;value_11;;;
;dvPressureRangeObj;value_12;;;
;dvPressureRangeObj;value_13;;;
;dvPressureRangeObj;value_14;;;
;dvPressureRangeObj;value_15;;;
;dvPressureRangeObj;value_16;;;
;dvPressureRangeObj;value_17;;;
;dvPressureRangeObj;value_18;;;
;dvPressureRangeObj;value_19;;;
;dvPressureRangeObj;value_20;;;
;dvDensityRangeObj;unit;;ENUMERATION;_T_MASS_DENSITY_UNIT
;dvDensityRangeObj;type;;;
;dvDensityRangeObj;value_0;;NUMERIC;
;dvDensityRangeObj;value_1;;NUMERIC;
;dvDensityRangeObj;value_2;;;
;dvDensityRangeObj;value_3;;;
;dvDensityRangeObj;value_4;;;
;dvDensityRangeObj;value_5;;;
;dvDensityRangeObj;value_6;;;
;dvDensityRangeObj;value_7;;;
;dvDensityRangeObj;value_8;;;
;dvDensityRangeObj;value_9;;;
;dvDensityRangeObj;value_10;;;
;dvDensityRangeObj;value_11;;;
;dvDensityRangeObj;value_12;;;
;dvDensityRangeObj;value_13;;;
;dvDensityRangeObj;value_14;;;
;dvDensityRangeObj;value_15;;;
;dvDensityRangeObj;value_16;;;
;dvDensityRangeObj;value_17;;;
;dvDensityRangeObj;value_18;;;
;dvDensityRangeObj;value_19;;;
;dvDensityRangeObj;value_20;;;
;dvContentRange;hiLim;;NUMERIC;
;dvContentRange;loLim;;NUMERIC;
;diagLowCutoffMask;;;ENUMERATION;STATUS
;dvPressureRangeRelative;hiLim;;;
;dvPressureRangeRelative;loLim;;;
;dvPressureRangeRelative;span;;;
;hartBurstInAlarmPeriod;;;NUMERIC;
;dvPressureRangeRelativeObj;unit;;ENUMERATION;_T_PRESSURE_UNIT
;dvPressureRangeRelativeObj;type;;;
;dvPressureRangeRelativeObj;value_0;;NUMERIC;
;dvPressureRangeRelativeObj;value_1;;NUMERIC;
;dvPressureRangeRelativeObj;value_2;;;
;dvPressureRangeRelativeObj;value_3;;;
;dvPressureRangeRelativeObj;value_4;;;
;dvPressureRangeRelativeObj;value_5;;;
;dvPressureRangeRelativeObj;value_6;;;
;dvPressureRangeRelativeObj;value_7;;;
;dvPressureRangeRelativeObj;value_8;;;
;dvPressureRangeRelativeObj;value_9;;;
;dvPressureRangeRelativeObj;value_10;;;
;dvPressureRangeRelativeObj;value_11;;;
;dvPressureRangeRelativeObj;value_12;;;
;dvPressureRangeRelativeObj;value_13;;;
;dvPressureRangeRelativeObj;value_14;;;
;dvPressureRangeRelativeObj;value_15;;;
;dvPressureRangeRelativeObj;value_16;;;
;dvPressureRangeRelativeObj;value_17;;;
;dvPressureRangeRelativeObj;value_18;;;
;dvPressureRangeRelativeObj;value_19;;;
;dvPressureRangeRelativeObj;value_20;;;
;dvPressureAlmRangeObj;unit;;ENUMERATION;_T_PRESSURE_UNIT
;dvPressureAlmRangeObj;type;;;
;dvPressureAlmRangeObj;value_0;;NUMERIC;
;dvPressureAlmRangeObj;value_1;;NUMERIC;
;dvPressureAlmRangeObj;value_2;;;
;dvPressureAlmRangeObj;value_3;;;
;dvPressureAlmRangeObj;value_4;;;
;dvPressureAlmRangeObj;value_5;;;
;dvPressureAlmRangeObj;value_6;;;
;dvPressureAlmRangeObj;value_7;;;
;dvPressureAlmRangeObj;value_8;;;
;dvPressureAlmRangeObj;value_9;;;
;dvPressureAlmRangeObj;value_10;;;
;dvPressureAlmRangeObj;value_11;;;
;dvPressureAlmRangeObj;value_12;;;
;dvPressureAlmRangeObj;value_13;;;
;dvPressureAlmRangeObj;value_14;;;
;dvPressureAlmRangeObj;value_15;;;
;dvPressureAlmRangeObj;value_16;;;
;dvPressureAlmRangeObj;value_17;;;
;dvPressureAlmRangeObj;value_18;;;
;dvPressureAlmRangeObj;value_19;;;
;dvPressureAlmRangeObj;value_20;;;
;diagAlarmNamurConfiguration;;;ENUMERATION;
