reserved;definition;name;value;briefdescription
;T_MB_DIAG_BYTE1;HART_INSTRUMENT_ADDRESS_NOT_ZERO;0x40;
;T_MB_DIAG_BYTE1;FRAM_COMMUNICATIONS_FAILURE_ALARM;0x80;
;T_MB_DIAG_BYTE2;NVMEMINTERFACE_NO_SENSOR_ALARM;0x01;
;T_MB_DIAG_BYTE2;MEASUREMENT_OFFLINE_ALARM;0x02;
;T_MB_DIAG_BYTE2;EMPTY_PIPE_ALARM;0x04;
;T_MB_DIAG_BYTE2;FULL_PIPE_ALARM;0x08;
;T_MB_DIAG_BYTE2;CONDUCTIVITY_LOW_ALARM;0x10;
;T_MB_DIAG_BYTE2;ELECTRODE_OPEN_CIRCUIT_ALARM;0x20;
;T_MB_DIAG_BYTE2;ELECTRODE_SHORT_CIRCUIT_ALARM;0x40;
;T_MB_DIAG_BYTE2;ELECTRODE_COATED_ALARM;0x80;
;T_MB_DIAG_BYTE3;INSTALLATION_FAULT_ALARM;0x01;
;T_MB_DIAG_BYTE3;COIL_OPEN_CIRCUIT_ALARM;0x02;
;T_MB_DIAG_BYTE3;COIL_SHORT_CIRCUIT_ALARM;0x04;
;T_MB_DIAG_BYTE3;LOOP_RESISTANCE_ALARM;0x08;
;T_MB_DIAG_BYTE3;TX_HARDWARE_ALARM;0x10;
;T_MB_DIAG_BYTE3;BAD_FLOW_DATA_ALARM;0x20;
;T_MB_DIAG_BYTE3;ELECTRODE_VOLTAGE_ALARM;0x40;
;T_MB_DIAG_BYTE3;OIML_SELF_CHECK_ALARM;0x80;
;T_MB_DIAG_BYTE4;WARMING_UP_ALARM;0x01;
;T_MB_DIAG_BYTE4;MSP_INTERFACE_COM_ERROR_ALARM;0x02;
;T_MB_DIAG_BYTE4;DEVICE_ALARM_SYSTEM_NOT_CALIBRATED;0x04;
;T_MB_DIAG_BYTE4;DEVICE_ALARM_SYSTEM_CALIBRATION_MATCH_FAIL;0x08;
;T_MB_DIAG_BYTE4;CHECKING_ALARM_ROM_ERROR;0x10;
;T_MB_DIAG_BYTE4;CHECKING_ALARM_RAM_ERROR;0x20;
;T_MB_DIAG_BYTE4;HART_ALARM_FREQUENCY_SIMULATION;0x40;
;T_MB_DIAG_BYTE4;ALARM_SIMUALTION_ERROR;0x80;
;T_MB_DIAG_BYTE5;NVMEMINTERFACE_SUMMARY_ALARM;0x01;
;T_MB_DIAG_BYTE5;UNUSED_ALARM_BIT_1;0x02;
;T_MB_DIAG_BYTE5;UNUSED_ALARM_BIT_2;0x04;
;T_MB_DIAG_BYTE5;UNUSED_ALARM_BIT_3;0x08;
;T_MB_DIAG_BYTE5;UNUSED_ALARM_BIT_4;0x10;
;T_MB_DIAG_BYTE5;UNUSED_ALARM_BIT_5;0x20;
;T_MB_DIAG_BYTE5;UNUSED_ALARM_BIT_6;0x40;
;T_MB_DIAG_BYTE5;UNUSED_ALARM_BIT_7;0x80;
;;MANUFACTUR_AND_DEVICE_ID;0x00001AA0;1A is for ABB and A0 for Coriolis
;E_WriteFunctionsEnabling;WRITE_FUNCTIONS_DISABLED;0;Modbus write functions disabled
;E_WriteFunctionsEnabling;WRITE_FUNCTIONS_ENABLED;1;Modbus write functions enabled
